Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,599.1,1063.7,5350.6,127.1,774.0,825.2,803.8,222.2,534.3,303.5,623.9,329.8,2066.5,1592.3,1341.0,1333.2,510.0
1,584.1,1037.0,5216.5,123.9,754.5,804.5,783.6999999999999,216.6,520.8,296.29999999999995,608.3,321.40000000000003,2014.6,1552.4,1307.5,1299.8,497.3
2,563.6,1000.6,5033.5,119.6,728.1,776.3,756.2,209.0,502.5,285.9,587.0,310.2,1944.0000000000002,1497.9,1261.5,1254.2,479.8
3,537.9,955.1,4804.4,114.2,695.0,741.0,721.8,199.50000000000003,479.6,272.70000000000005,560.2,296.1,1855.6,1429.8,1204.2,1197.1,458.09999999999997
4,511.6,908.4,4569.4,108.6,661.0,704.7,686.3999999999999,190.0,456.19999999999993,259.70000000000005,532.8,281.69999999999993,1764.6999999999998,1359.8,1145.3,1138.5,435.5
5,491.2,872.1,4387.0,104.2,634.6,676.6,659.1,182.29999999999998,437.90000000000003,249.3,511.6,270.4,1694.3000000000002,1305.5,1099.6000000000001,1093.1,418.29999999999995
6,477.5,847.8,4264.7,101.3,616.9,657.7,640.6,177.20000000000002,425.8,242.00000000000003,497.29999999999995,262.7,1647.0,1269.1,1068.9,1062.6,406.59999999999997
7,465.6,826.6,4158.2,98.8,601.5,641.3,624.6,172.70000000000002,415.20000000000005,236.2,484.90000000000003,256.2,1606.0,1237.4,1042.2,1036.1,396.4
8,466.8,828.7,4168.7,99.0,603.1,642.9,626.1999999999999,173.10000000000002,416.1,236.79999999999998,486.1,256.9,1610.0,1240.6,1044.9,1038.7,397.40000000000003
9,476.6,846.3,4257.0,101.2,615.8,656.6,639.5,176.8,425.0,241.70000000000002,496.5,262.3,1644.1,1266.9,1066.8999999999999,1060.7,405.90000000000003
10,491.0,871.8,4385.5,104.2,634.4,676.4,658.9000000000001,182.2,437.8,249.20000000000002,511.40000000000003,270.2,1693.7,1305.1,1099.1,1092.7,418.1
11,507.0,900.2,4528.6,107.6,655.0,698.4,680.4,188.19999999999996,452.20000000000005,257.0,528.0,279.1,1748.9999999999998,1347.7,1135.0,1128.4,431.70000000000005
12,522.2,927.1,4663.5,110.8,674.7,719.2,700.6,193.70000000000002,465.6,264.8,543.8,287.3,1801.1000000000001,1387.8,1168.8000000000002,1162.0,444.6
13,562.1,998.0,5020.0,119.3,726.2,774.2,754.1,208.6,501.1,285.0,585.4,309.3,1938.8000000000002,1493.9,1258.2,1250.8,478.7
14,579.8,1029.4,5178.2,123.0,749.1,798.6,777.8999999999999,214.99999999999997,516.9000000000001,294.20000000000005,603.9,318.99999999999994,1999.8,1541.0,1297.8,1290.2,493.7
15,590.7,1048.7,5275.4,125.3,763.0999999999999,813.6,792.5,219.09999999999997,526.7,299.5,615.1,325.2,2037.4,1569.9,1322.1999999999998,1314.4,502.90000000000003
16,589.7,1046.9,5266.4,125.1,761.8000000000001,812.2,791.2,218.89999999999998,525.7,299.09999999999997,614.1,324.59999999999997,2034.0,1567.2,1320.0,1312.2,502.1
17,583.3,1035.6,5209.4,123.8,753.6,803.4,782.7,216.19999999999996,520.1,295.7,607.5,321.00000000000006,2011.8999999999999,1550.3,1305.6000000000001,1298.0,496.6
18,573.8,1018.7,5124.3,121.8,741.3,790.3,769.9,212.79999999999998,511.59999999999997,290.9,597.5,315.8,1979.1000000000001,1525.0,1284.3999999999999,1276.8,488.5
19,569.0,1010.2,5081.8,120.7,735.1,783.8,763.4,211.1,507.20000000000005,288.70000000000005,592.6,313.09999999999997,1962.6,1512.3,1273.6,1266.2,484.5
20,574.6,1020.1,5131.7,121.9,742.3,791.4,770.9,213.0,512.1999999999999,291.3999999999999,598.4,316.1,1981.8,1527.2,1286.1,1278.6,489.2
21,594.5,1055.6,5309.9,126.2,768.1,819.0,797.6999999999999,220.5,530.1,301.6,619.2,327.20000000000005,2050.7000000000003,1580.2,1330.8000000000002,1323.0,506.2
22,611.2,1085.2,5458.9,129.7,789.7,841.9,820.1,226.8,545.0,309.79999999999995,636.6,336.29999999999995,2108.2999999999997,1624.5,1368.2,1360.2,520.4
23,623.5,1106.9,5568.2,132.3,805.5,858.8,836.5999999999999,231.20000000000002,555.9,316.0,649.3,343.2,2150.4,1657.1,1395.6,1387.4,530.9
24,662.9,1176.9,5920.1,140.7,856.4,913.0,889.3,245.90000000000003,591.0,336.19999999999993,690.3000000000001,364.79999999999995,2286.3999999999996,1761.8,1483.8,1475.1,564.4
25,631.2,1120.7,5637.7,134.0,815.5,869.5,846.9000000000001,234.0,562.8,320.00000000000006,657.4,347.4,2177.4,1677.7,1413.0,1404.7,537.4000000000001
26,600.1,1065.4,5359.5,127.3,775.3,826.6,805.2,222.60000000000002,535.0,304.29999999999995,625.0,330.2,2069.9,1594.9,1343.3000000000002,1335.4,511.0
27,568.0,1008.4,5072.6,120.5,733.7,782.3,762.0,210.7,506.4,288.0,591.6,312.7,1959.1,1509.6,1271.3,1263.9,483.59999999999997
28,535.9,951.4,4786.0,113.7,692.3,738.2,719.0,198.8,477.9,271.90000000000003,558.1,294.8,1848.4,1424.3,1199.6000000000001,1192.5,456.2
29,504.5,895.7,4505.9,107.1,651.8,694.9,676.9000000000001,187.39999999999998,449.79999999999995,255.8,525.4,277.59999999999997,1740.2,1340.9,1129.3,1122.7,429.5
30,480.7,853.4,4293.0,102.0,621.0,662.1,645.0,178.2,428.6,243.8,500.59999999999997,264.6,1657.9999999999998,1277.6,1076.0,1069.7,409.3
31,474.2,841.9,4234.9,100.6,612.5999999999999,653.2,636.2000000000002,175.7,422.80000000000007,240.50000000000003,493.9,260.9,1635.5,1260.3,1061.3999999999999,1055.2,403.8
32,480.7,853.5,4293.3,102.0,621.0,662.2,645.0,178.2,428.6,243.9,500.7,264.6,1658.1,1277.7,1076.0,1069.8,409.4
33,491.2,872.1,4386.8,104.2,634.6,676.6,659.1,182.2,437.90000000000003,249.3,511.5,270.29999999999995,1694.2,1305.5,1099.5,1093.0,418.29999999999995
34,501.6,890.6,4479.9,106.4,648.0999999999999,690.9,673.0999999999999,186.0,447.20000000000005,254.40000000000003,522.4,276.1,1730.3,1333.2,1122.8,1116.2,427.09999999999997
35,510.7,906.8,4561.3,108.4,659.8,703.5,685.1999999999998,189.6,455.4,259.09999999999997,531.9,281.09999999999997,1761.6000000000001,1357.4,1143.2,1136.5,434.90000000000003
36,518.5,920.6,4630.9,110.0,669.9,714.2,695.8,192.39999999999998,462.4,263.0,540.0,285.40000000000003,1788.4,1378.1,1160.6999999999998,1153.9,441.49999999999994
37,548.3,973.4,4896.7,116.3,708.3,755.2,735.6,203.29999999999998,488.90000000000003,278.09999999999997,571.0,301.9,1891.2,1457.2,1227.3,1220.1,466.80000000000007
38,560.5,995.1,5005.6,118.9,724.1999999999999,772.0,752.0000000000001,207.89999999999998,499.79999999999995,284.2,583.7,308.4,1933.1999999999998,1489.6,1254.6000000000001,1247.2,477.2
39,550.1,976.7,4912.9,116.7,710.6,757.7,738.1,204.10000000000002,490.5,278.9,572.9,302.59999999999997,1897.3000000000002,1462.0,1231.3000000000002,1224.1,468.3
40,536.1,951.9,4788.4,113.8,692.7,738.5,719.3000000000001,198.8,478.0,272.1,558.4,294.90000000000003,1849.4,1425.0,1200.2,1193.1,456.4
41,522.9,928.5,4670.5,111.0,675.6,720.3,701.6,193.9,466.2,265.09999999999997,544.7,287.8,1803.9,1389.9,1170.6,1163.7,445.3
42,516.9,917.7,4616.4,109.7,667.7,712.0,693.5,191.5,460.90000000000003,262.2,538.3,284.5,1782.9,1373.8,1157.0,1150.2,440.09999999999997
43,524.0,930.3,4679.9,111.2,677.0,721.8,703.0,194.3,467.20000000000005,265.80000000000007,545.6999999999999,288.3,1807.4,1392.7,1172.8999999999999,1166.1,446.1
44,526.2,934.2,4699.4,111.7,679.8000000000001,724.8,706.0000000000001,195.3,469.20000000000005,266.9,548.0,289.6,1814.9,1398.5,1177.8999999999999,1170.9,448.0
45,537.9,955.0,4804.0,114.1,694.9,740.9,721.6999999999999,199.50000000000003,479.6,272.70000000000005,560.2,296.0,1855.3999999999999,1429.6,1204.0,1197.0,458.09999999999997
46,549.1,974.9,4904.2,116.5,709.4,756.4,736.7,203.80000000000004,489.70000000000005,278.59999999999997,571.8000000000001,302.29999999999995,1894.1000000000001,1459.4,1229.2,1222.0,467.5
47,553.0,981.7,4938.5,117.3,714.4000000000001,761.6,741.9,205.1,493.1,280.59999999999997,575.9,304.20000000000005,1907.3,1469.6,1237.8,1230.5,470.90000000000003
48,547.0,971.2,4885.6,116.1,706.6,753.5,733.9,203.0,487.7,277.4,569.6999999999999,301.1,1886.8999999999999,1453.9,1224.6000000000001,1217.3,465.90000000000003
49,527.7,937.0,4713.2,112.0,681.8,726.9,708.0999999999999,195.80000000000004,470.5,267.6,549.6,290.40000000000003,1820.2999999999997,1402.6,1181.3000000000002,1174.4,449.40000000000003
50,506.3,898.9,4521.9,107.4,654.1,697.4,679.3000000000001,187.99999999999997,451.4,256.7,527.3,278.59999999999997,1746.5,1345.7,1133.3,1126.7,431.0
51,484.2,859.7,4324.6,102.8,625.5,667.0,649.7999999999998,179.5,431.6,245.4,504.20000000000005,266.5,1670.2,1287.0,1083.9,1077.5,412.3
52,460.1,816.9,4109.2,97.6,594.5,633.8,617.3,170.70000000000002,410.20000000000005,233.3,479.2,253.20000000000002,1587.1,1222.9,1030.0,1023.9,391.70000000000005
53,435.0,772.3,3884.8,92.3,562.0,599.2,583.6,161.29999999999998,387.9,220.70000000000002,453.0,239.4,1500.4,1156.1,973.7,968.0,370.4
