Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.0,0.0,0.0,0.0,0.32,0.96,0.94,0.87,0.84,0.88,0.97,0.98,0.44,0.0,0.47,0.86,0.22
1,0.0,0.0,0.0,0.0,0.32,0.96,0.97,0.85,0.8,0.86,0.96,0.97,0.43,0.0,0.47,0.91,0.22
2,0.0,0.0,0.0,0.0,0.32,0.97,0.98,0.86,0.77,0.85,0.94,0.98,0.43,0.0,0.47,0.96,0.22
3,0.0,0.0,0.0,0.0,0.31,0.94,0.98,0.85,0.76,0.85,0.93,0.97,0.41,0.0,0.46,0.96,0.19
4,0.0,0.0,0.0,0.0,0.3,0.89,0.98,0.83,0.74,0.85,0.92,0.96,0.4,0.0,0.46,0.97,0.15
5,0.0,0.0,0.0,0.0,0.28,0.79,0.98,0.82,0.73,0.85,0.9,0.95,0.39,0.0,0.48,0.98,0.12
6,0.0,0.0,0.0,0.0,0.26,0.72,0.98,0.8,0.75,0.82,0.92,0.93,0.3,0.0,0.4,0.96,0.09
7,0.0,0.0,0.0,0.0,0.24,0.65,0.98,0.78,0.77,0.81,0.92,0.9,0.25,0.0,0.3,0.91,0.08
8,0.0,0.0,0.0,0.0,0.22,0.59,0.96,0.76,0.79,0.79,0.92,0.85,0.24,0.0,0.24,0.83,0.08
9,0.0,0.0,0.0,0.0,0.11,0.58,0.84,0.73,0.73,0.79,0.86,0.78,0.09,0.0,0.12,0.32,0.03
10,0.0,0.0,0.0,0.0,0.05,0.58,0.73,0.68,0.62,0.8,0.74,0.61,0.03,0.0,0.13,0.1,0.01
11,0.0,0.0,0.0,0.0,0.01,0.6,0.61,0.63,0.46,0.81,0.62,0.45,0.0,0.0,0.28,0.08,0.0
12,0.0,0.0,0.0,0.0,0.01,0.31,0.47,0.51,0.22,0.73,0.36,0.23,0.02,0.0,0.3,0.22,0.01
13,0.0,0.0,0.0,0.0,0.04,0.23,0.45,0.45,0.11,0.68,0.32,0.18,0.06,0.0,0.32,0.45,0.02
14,0.0,0.0,0.0,0.0,0.11,0.31,0.55,0.52,0.11,0.72,0.44,0.3,0.13,0.0,0.35,0.78,0.05
15,0.0,0.0,0.0,0.0,0.16,0.41,0.61,0.55,0.17,0.76,0.48,0.37,0.18,0.0,0.34,0.66,0.07
16,0.0,0.0,0.0,0.0,0.24,0.6,0.69,0.62,0.3,0.8,0.55,0.48,0.24,0.0,0.33,0.57,0.1
17,0.0,0.0,0.0,0.0,0.32,0.84,0.76,0.71,0.53,0.83,0.65,0.64,0.34,0.0,0.34,0.51,0.14
18,0.0,0.0,0.0,0.0,0.31,0.87,0.82,0.76,0.64,0.86,0.73,0.72,0.38,0.0,0.43,0.68,0.18
19,0.0,0.0,0.0,0.0,0.31,0.92,0.9,0.83,0.74,0.87,0.81,0.78,0.44,0.0,0.48,0.86,0.22
20,0.0,0.0,0.0,0.0,0.32,0.96,0.95,0.92,0.83,0.87,0.88,0.83,0.48,0.0,0.49,0.96,0.24
21,0.0,0.0,0.0,0.0,0.32,0.97,0.98,0.95,0.91,0.89,0.94,0.93,0.48,0.0,0.49,0.97,0.24
22,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.96,0.96,0.89,0.96,0.97,0.49,0.0,0.49,0.98,0.24
23,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.97,0.97,0.9,0.98,0.98,0.49,0.0,0.49,0.98,0.24
24,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
25,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
26,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
27,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.49,0.0,0.49,0.98,0.24
28,0.0,0.0,0.0,0.0,0.33,0.98,0.98,0.98,0.96,0.9,0.97,0.98,0.49,0.0,0.49,0.97,0.24
