Time,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.55,0.55,0.47,0.26,0.28,0.2
13,0.73,0.72,0.65,0.35,0.35,0.26
14,0.8,0.78,0.71,0.38,0.37,0.28
15,0.84,0.83,0.76,0.4,0.4,0.3
16,0.85,0.84,0.77,0.41,0.4,0.31
17,0.83,0.83,0.75,0.41,0.4,0.3
18,0.77,0.79,0.71,0.39,0.38,0.29
19,0.62,0.65,0.6,0.33,0.31,0.24
20,0.0,0.02,0.07,0.15,0.0,0.1
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0
36,0.28,0.13,0.14,0.03,0.07,0.04
37,0.38,0.19,0.28,0.06,0.12,0.05
38,0.51,0.41,0.5,0.16,0.26,0.12
39,0.59,0.55,0.42,0.27,0.28,0.23
40,0.59,0.49,0.42,0.25,0.34,0.27
41,0.53,0.31,0.47,0.28,0.35,0.22
42,0.38,0.18,0.18,0.19,0.26,0.09
43,0.34,0.24,0.24,0.1,0.26,0.08
44,0.0,0.04,0.02,0.01,0.08,0.02
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0
60,0.54,0.52,0.42,0.26,0.27,0.2
61,0.67,0.69,0.61,0.34,0.33,0.25
62,0.76,0.78,0.69,0.38,0.38,0.29
63,0.79,0.8,0.73,0.4,0.4,0.3
64,0.78,0.8,0.74,0.4,0.4,0.3
65,0.75,0.77,0.72,0.39,0.38,0.29
66,0.7,0.72,0.68,0.37,0.36,0.27
67,0.6,0.64,0.61,0.33,0.31,0.24
68,0.0,0.06,0.11,0.13,0.12,0.11
69,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0
84,0.37,0.19,0.13,0.18,0.27,0.17
85,0.38,0.27,0.17,0.26,0.33,0.22
86,0.34,0.44,0.34,0.32,0.38,0.23
87,0.45,0.47,0.47,0.28,0.38,0.24
88,0.43,0.56,0.33,0.27,0.38,0.24
89,0.41,0.4,0.15,0.19,0.38,0.24
90,0.4,0.29,0.12,0.13,0.36,0.25
91,0.26,0.16,0.08,0.05,0.28,0.09
92,0.0,0.0,0.02,0.01,0.06,0.03
93,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0
