Time,0,1,2,3,4,5
0,0.65,0.45,0.84,0.43,0.21,0.2
1,0.66,0.62,0.87,0.44,0.2,0.23
2,0.68,0.7,0.89,0.44,0.2,0.26
3,0.6,0.71,0.85,0.46,0.23,0.27
4,0.6,0.81,0.8,0.47,0.28,0.29
5,0.66,0.92,0.78,0.47,0.35,0.31
6,0.55,0.98,0.79,0.46,0.27,0.29
7,0.58,0.98,0.83,0.45,0.2,0.28
8,0.68,0.98,0.85,0.45,0.14,0.27
9,0.79,0.98,0.86,0.45,0.14,0.26
10,0.9,0.98,0.88,0.45,0.16,0.25
11,0.96,0.96,0.85,0.45,0.2,0.22
12,0.93,0.92,0.76,0.38,0.16,0.17
13,0.9,0.8,0.6,0.31,0.15,0.14
14,0.86,0.7,0.41,0.25,0.14,0.12
15,0.73,0.55,0.28,0.11,0.09,0.08
16,0.6,0.43,0.18,0.03,0.09,0.05
17,0.48,0.35,0.13,0.01,0.12,0.05
18,0.49,0.31,0.15,0.02,0.18,0.08
19,0.53,0.29,0.21,0.07,0.28,0.15
20,0.58,0.3,0.34,0.13,0.4,0.25
21,0.59,0.29,0.47,0.25,0.47,0.34
22,0.67,0.37,0.6,0.42,0.49,0.36
23,0.79,0.56,0.7,0.48,0.49,0.37
24,0.83,0.62,0.75,0.49,0.49,0.37
25,0.89,0.71,0.78,0.49,0.49,0.37
26,0.94,0.86,0.81,0.49,0.49,0.37
27,0.95,0.89,0.75,0.49,0.49,0.37
28,0.96,0.92,0.7,0.49,0.49,0.37
29,0.96,0.96,0.67,0.49,0.49,0.37
30,0.97,0.97,0.68,0.49,0.49,0.37
31,0.98,0.98,0.68,0.49,0.49,0.37
32,0.98,0.98,0.7,0.49,0.49,0.37
33,0.98,0.97,0.79,0.49,0.49,0.37
34,0.98,0.93,0.85,0.49,0.49,0.37
35,0.98,0.83,0.89,0.47,0.49,0.37
36,0.98,0.76,0.86,0.42,0.49,0.36
37,0.98,0.7,0.82,0.35,0.49,0.31
38,0.98,0.66,0.77,0.26,0.49,0.22
39,0.97,0.67,0.71,0.24,0.49,0.22
40,0.96,0.68,0.66,0.23,0.49,0.21
41,0.94,0.67,0.6,0.23,0.48,0.2
42,0.94,0.7,0.63,0.26,0.48,0.23
43,0.94,0.73,0.66,0.32,0.48,0.27
44,0.93,0.75,0.7,0.38,0.47,0.32
45,0.95,0.79,0.73,0.42,0.46,0.33
46,0.97,0.88,0.78,0.46,0.44,0.33
47,0.97,0.94,0.81,0.48,0.43,0.33
48,0.97,0.94,0.76,0.49,0.45,0.34
49,0.97,0.94,0.7,0.49,0.46,0.35
50,0.97,0.95,0.68,0.49,0.48,0.36
51,0.96,0.92,0.62,0.48,0.43,0.34
52,0.94,0.88,0.62,0.45,0.33,0.31
53,0.93,0.81,0.64,0.38,0.24,0.29
54,0.86,0.83,0.63,0.4,0.28,0.3
55,0.78,0.84,0.63,0.42,0.32,0.32
56,0.69,0.84,0.65,0.43,0.37,0.33
57,0.68,0.86,0.67,0.43,0.36,0.34
58,0.68,0.87,0.74,0.43,0.36,0.34
59,0.68,0.88,0.82,0.43,0.36,0.34
60,0.58,0.87,0.78,0.43,0.39,0.35
61,0.5,0.85,0.74,0.43,0.42,0.35
62,0.45,0.82,0.71,0.42,0.44,0.36
63,0.4,0.83,0.74,0.45,0.45,0.36
64,0.36,0.84,0.76,0.47,0.45,0.36
65,0.34,0.85,0.75,0.48,0.45,0.35
66,0.43,0.9,0.78,0.49,0.49,0.37
67,0.54,0.95,0.8,0.49,0.49,0.37
68,0.67,0.97,0.83,0.49,0.49,0.37
69,0.7,0.97,0.85,0.49,0.49,0.37
70,0.73,0.97,0.87,0.49,0.49,0.37
71,0.76,0.98,0.88,0.49,0.49,0.37
72,0.8,0.98,0.87,0.49,0.49,0.37
73,0.82,0.98,0.85,0.49,0.49,0.37
74,0.84,0.98,0.82,0.49,0.49,0.37
75,0.88,0.98,0.82,0.49,0.49,0.37
76,0.92,0.98,0.83,0.49,0.49,0.37
77,0.94,0.98,0.84,0.49,0.49,0.37
78,0.96,0.98,0.82,0.49,0.49,0.37
79,0.98,0.98,0.79,0.49,0.49,0.37
80,0.98,0.98,0.75,0.49,0.49,0.37
81,0.98,0.98,0.72,0.49,0.49,0.37
82,0.98,0.98,0.69,0.49,0.49,0.37
83,0.98,0.98,0.67,0.49,0.49,0.37
84,0.98,0.97,0.61,0.49,0.49,0.37
85,0.98,0.95,0.57,0.49,0.49,0.37
86,0.98,0.92,0.55,0.49,0.49,0.37
87,0.98,0.89,0.55,0.48,0.49,0.37
88,0.98,0.85,0.53,0.44,0.49,0.37
89,0.98,0.79,0.53,0.38,0.49,0.36
90,0.98,0.78,0.5,0.4,0.49,0.36
91,0.98,0.78,0.47,0.42,0.49,0.36
92,0.98,0.76,0.45,0.44,0.49,0.36
93,0.98,0.8,0.53,0.43,0.48,0.35
94,0.98,0.84,0.63,0.42,0.44,0.34
95,0.98,0.87,0.72,0.42,0.34,0.3
96,0.98,0.85,0.66,0.4,0.29,0.29
97,0.98,0.84,0.58,0.39,0.26,0.28
98,0.97,0.82,0.51,0.39,0.23,0.26
99,0.97,0.82,0.55,0.4,0.24,0.28
100,0.97,0.82,0.6,0.41,0.25,0.29
101,0.96,0.82,0.65,0.41,0.26,0.3
102,0.95,0.75,0.63,0.41,0.25,0.3
103,0.94,0.69,0.61,0.41,0.25,0.31
104,0.92,0.63,0.6,0.4,0.26,0.32
105,0.91,0.54,0.49,0.3,0.19,0.31
106,0.9,0.49,0.41,0.22,0.14,0.29
107,0.88,0.48,0.38,0.16,0.1,0.27
108,0.75,0.32,0.2,0.1,0.04,0.18
109,0.58,0.18,0.1,0.05,0.03,0.1
110,0.44,0.09,0.05,0.03,0.03,0.05
111,0.3,0.04,0.01,0.01,0.0,0.02
112,0.19,0.02,0.0,0.0,0.0,0.0
113,0.12,0.0,0.0,0.0,0.0,0.0
114,0.09,0.0,0.0,0.0,0.0,0.0
115,0.07,0.0,0.03,0.01,0.0,0.0
116,0.08,0.04,0.1,0.03,0.0,0.0
117,0.07,0.06,0.15,0.04,0.0,0.0
118,0.08,0.09,0.25,0.06,0.02,0.02
119,0.11,0.15,0.4,0.09,0.06,0.05
120,0.09,0.16,0.43,0.06,0.04,0.05
121,0.09,0.19,0.47,0.06,0.04,0.06
122,0.12,0.22,0.53,0.07,0.07,0.07
123,0.11,0.19,0.49,0.09,0.04,0.06
124,0.12,0.17,0.47,0.12,0.02,0.07
125,0.13,0.15,0.46,0.16,0.0,0.08
