node_num,State,TIME_ZONE,Lon,Lat,area_km2,availability_50,pop_2019,wind_area_km2,solar_area_km2
0,MA,E,-70.9664,42.4781,1327,0.975,789034,0.0,144.0
1,MA,E,-71.1185,42.3759,2195,0.973,1611699,0.0,0.0
2,MA,E,-71.0852,42.3188,175,0.99,803907,0.0,0.0
3,MA,E,-71.0187,42.2506,1015,0.979,706775,0.0,0.0
4,MA,E,-70.72250000000001,41.806999999999995,4383,0.9406666666666667,1299409,288.7459808,288.0
5,MA,E,-71.8079,42.2705,4090,0.875,830622,0.0,144.0
6,MA,E,-72.75795,42.372825,7383,0.72675,822326,1009.9678458000001,1152.0
7,ME,E,-69.11975833333334,44.76245,77207,0.515,697435,5626.045016399999,5616.0
8,ME,E,-70.181325,43.792675,6989,0.797,646777,432.7974277,288.0
9,VT,E,-72.63722142857144,44.20832142857143,24900,0.6193571428571428,623989,3194.53376234,3873.5416667
10,NH,E,-71.1368,42.903549999999996,4193,0.873,726794,577.1704181,432.0
11,NH,E,-71.6491875,43.560475,19845,0.632875,632917,1587.1382639,2880.0
12,RI,E,-71.424,41.620775,2758,0.9315,1010882,144.3729904,144.0
13,CT,E,-73.1954,41.1918,1674,0.981,943332,0.0,144.0
14,CT,E,-73.0264,41.5731,4050,0.887,1035090,288.4244373,0.0
15,CT,E,-72.6834,41.7661,1944,0.928,891720,0.0,0.0
16,CT,E,-72.27225,41.68565,5201,0.89825,695145,144.3729904,144.0
