node_num,State,FIPS,TIME_ZONE,County,Lon,Lat,area_km2,availability_50,pop_2019,wind_area_km2,solar_area_km2,Zone_17,Zone_6
0,CT,9001,E,Fairfield,-73.1954,41.1918,1674,0.981,943332,0,144,13,5
1,CT,9003,E,Hartford,-72.6834,41.7661,1944,0.928,891720,0,0,15,5
2,CT,9005,E,Litchfield,-73.1282,41.8349,2446,0.819,180333,288.4244373,0,14,5
3,CT,9007,E,Middlesex,-72.6549,41.5476,1003,0.921,162436,0,0,16,5
4,CT,9009,E,New Haven,-72.9246,41.3113,1604,0.955,854757,0,0,14,5
5,CT,9011,E,New London,-72.0882,41.5495,1767,0.897,265206,0,0,16,5
6,CT,9013,E,Tolland,-72.4605,41.8369,1080,0.885,150721,0,0,16,5
7,CT,9015,E,Windham,-71.8854,41.8086,1351,0.89,116782,144.3729904,144,16,5
8,ME,23001,E,Androscoggin,-70.1681,44.0915,1273,0.773,108277,144.3729904,144,8,0
9,ME,23003,E,Aroostook,-67.9874,46.6868,17678,0.308,67055,865.5948553,1440,7,0
10,ME,23005,E,Cumberland,-70.2715,43.6773,2394,0.85,295003,0,0,8,0
11,ME,23007,E,Franklin,-70.1923,44.4916,4514,0.359,30199,432.7974277,432,7,0
12,ME,23009,E,Hancock,-68.4875,44.5847,4383,0.514,54987,288.4244373,432,7,0
13,ME,23011,E,Kennebec,-69.7319,44.3341,2465,0.753,122302,144.3729904,288,7,0
14,ME,23013,E,Knox,-69.1369,44.1274,985,0.763,39772,0,0,7,0
15,ME,23015,E,Lincoln,-69.3897,44.1014,1245,0.752,34634,288.4244373,144,7,0
16,ME,23017,E,Oxford,-70.5113,44.219,5648,0.463,57975,432.7974277,576,7,0
17,ME,23019,E,Penobscot,-68.7906,44.8323,9210,0.444,152148,721.221865,720,7,0
18,ME,23021,E,Piscataquis,-69.0555,45.3488,11316,0.349,16785,721.221865,432,7,0
19,ME,23023,E,Sagadahoc,-69.8346,43.9346,686,0.8,35856,0,0,8,0
20,ME,23025,E,Somerset,-69.8975,44.8614,10622,0.365,50484,865.5948553,576,7,0
21,ME,23027,E,Waldo,-69.0325,44.4279,1956,0.66,39715,144.3729904,144,7,0
22,ME,23029,E,Washington,-67.224,45.134,7185,0.45,31379,721.221865,432,7,0
23,ME,23031,E,York,-70.4511,43.4673,2636,0.765,207641,288.4244373,144,8,0
24,MA,25001,E,Barnstable,-70.2005,41.6692,1085,0.911,212990,144.3729904,144,4,3
25,MA,25003,E,Berkshire,-73.2605,42.4517,2451,0.669,124944,288.4244373,288,6,3
