solar-UPV,wind-new,storage_level,storage_capacity,line
0.0,0.0,4.396207422022525e-13,1.0990518555056313e-13,2.2443105649526984e-14
0.0,0.0,4.4130753023303824e-13,1.1032688255825956e-13,1.4685664625224127e-14
0.0,0.0,4.3954654597847617e-13,1.0988663649461904e-13,1.8298895060548064e-14
0.0,0.0,4.38188433157608e-13,1.09547108289402e-13,1.7427455103448876e-14
0.0,0.0,4.3987301334964893e-13,1.0996825333741223e-13,2.310917265243593e-14
0.0,0.0,4.725155628721432e-13,1.181288907180358e-13,1.7227583519990893e-14
0.0,0.0,4.378564108068399e-13,1.0946410270170998e-13,1.2466770738036917e-14
0.0,0.0,4.390822084590598e-13,1.0977055211476495e-13,1.3044610314059237e-14
0.0,0.0,4.3872778417762263e-13,1.0968194604440566e-13,6.097612926642049e-15
0.0,0.0,4.3914890485643995e-13,1.0978722621410999e-13,2.7194345906252044e-14
0.0,0.0,4.404447494303056e-13,1.101111873575764e-13,1.15087089998621e-14
0.0,0.0,4.384115724700245e-13,1.0960289311750613e-13,2.454382681305746e-14
0.0,0.0,4.387994233946785e-13,1.0969985584866962e-13,9.544361871429727e-15
0.0,0.0,4.3794886529414696e-13,1.0948721632353674e-13,4.988711308706761e-14
0.0,0.0,4.387075626674795e-13,1.0967689066686987e-13,1.1302137590474006e-14
0.0,0.0,4.4057277710712426e-13,1.1014319427678107e-13,1.6254136303985228e-14
0.0,0.0,4.390766689700992e-13,1.097691672425248e-13,1.527273306383741e-14
0.0,0.0,4.383150054032702e-13,1.0957875135081755e-13,1.3940732654562898e-14
0.0,0.0,4.391580510074765e-13,1.0978951275186913e-13,1.1608005028296813e-14
0.0,0.0,4.4051350798549996e-13,1.1012837699637499e-13,2.381793463873988e-14
0.0,0.0,4.4056112708654506e-13,1.1014028177163626e-13,1.2907394358946872e-14
0.0,0.0,4.3736349138308393e-13,1.0934087284577098e-13,1.658924999906882e-14
0.0,0.0,4.3902960143045596e-13,1.0975740035761399e-13,3.879276402423498e-14
0.0,0.0,4.3870906331242113e-13,1.0967726582810528e-13,1.4331489469406542e-14
0.0,0.0,4.3855654728767167e-13,1.0963913682191792e-13,2.0307344722498293e-14
0.0,0.0,4.3880875567637904e-13,1.0970218891909476e-13,3.3881403728629037e-14
0.0,0.0,4.379837598396505e-13,1.0949593995991263e-13,2.4614961283955347e-14
0.0,0.0,4.398744178270431e-13,1.0996860445676077e-13,1.0217692733684211e-14
0.0,0.0,4.3794583440402795e-13,1.0948645860100699e-13,1.301953617884932e-14
0.0,0.0,4.391670921319202e-13,1.0979177303298005e-13,1.1537881719358041e-14
0.0,0.0,4.270356356931022e-13,1.0675890892327554e-13,1.82552489678889e-14
0.0,0.0,4.3940264078811587e-13,1.0985066019702897e-13,2.5504737833186335e-14
0.0,0.0,4.3890229663196994e-13,1.0972557415799249e-13,1.480950586280074e-14
0.0,0.0,4.611824262413017e-13,1.1529560656032542e-13,2.392413940474096e-14
0.0,0.0,4.4124939562772363e-13,1.1031234890693091e-13,1.9752634376523604e-14
0.0,0.0,4.403892505479093e-13,1.1009731263697732e-13,3.0817033052677417e-14
0.0,0.0,4.3997646247152193e-13,1.0999411561788048e-13,1.3332451123348177e-14
0.0,0.0,4.3935019198001853e-13,1.0983754799500463e-13,1.1705813954858366e-14
0.0,0.0,4.4058524232611654e-13,1.1014631058152914e-13,4.957430208969526e-14
0.0,0.0,4.386120164660736e-13,1.096530041165184e-13,1.0792238695066541e-14
0.0,0.0,4.387330972408214e-13,1.0968327431020535e-13,1.1592938974428776e-14
0.0,0.0,4.396820247718136e-13,1.099205061929534e-13,1.2121175155507456e-14
0.0,0.0,4.40119548028777e-13,1.1002988700719425e-13,1.0851119112069808e-14
0.0,0.0,4.4034657436920277e-13,1.1008664359230069e-13,9.58782511589876e-15
0.0,0.0,4.397454014724964e-13,1.099363503681241e-13,1.473315640283681e-14
0.0,0.0,4.405044703487268e-13,1.101261175871817e-13,7.863321868206137e-15
0.0,0.0,4.558351577385326e-13,1.1395878943463314e-13,1.9019068442507935e-14
0.0,0.0,4.4031674200774016e-13,1.1007918550193504e-13,2.8035046800469765e-14
0.0,0.0,4.388731196142924e-13,1.097182799035731e-13,2.208163560694926e-14
0.0,0.0,4.4200400504287573e-13,1.1050100126071893e-13,1.0386489311891975e-14
0.0,0.0,4.3920373657334216e-13,1.0980093414333554e-13,1.4336760609334473e-14
0.0,0.0,4.4017498777244836e-13,1.1004374694311209e-13,7.47987033142e-15
0.0,0.0,4.346565720029947e-13,1.0866414300074868e-13,3.902749753213343e-15
0.0,0.0,4.394065147391998e-13,1.0985162868479994e-13,1.820242019421498e-14
0.0,0.0,4.3945623557378845e-13,1.0986405889344711e-13,2.91514742641793e-14
0.0,0.0,4.3873540879043583e-13,1.0968385219760896e-13,1.713705538460195e-14
0.0,0.0,4.3913839253887447e-13,1.0978459813471862e-13,3.1965592941624287e-14
0.0,0.0,4.380975479854898e-13,1.0952438699637245e-13,1.5488018153527272e-14
0.0,0.0,4.4001359544580317e-13,1.1000339886145079e-13,1.8962816422405783e-14
0.0,0.0,4.381939741981086e-13,1.0954849354952716e-13,1.7921756808548494e-14
0.0,0.0,4.3911521806264857e-13,1.0977880451566214e-13,1.1265687577599404e-14
0.0,0.0,4.4029183505121923e-13,1.1007295876280481e-13,1.1777981301210411e-14
0.0,0.0,4.3898149036388817e-13,1.0974537259097204e-13,1.838488812813832e-14
0.0,0.0,4.399567143005256e-13,1.099891785751314e-13,1.776100386550102e-14
0.0,0.0,4.3896877596744043e-13,1.0974219399186011e-13,1.1871357537166263e-14
0.0,0.0,4.3964849571822476e-13,1.0991212392955619e-13,2.0177465566435443e-14
0.0,0.0,4.4007661635930883e-13,1.1001915408982721e-13,1.6786390953162485e-14
0.0,0.0,4.3859632998297485e-13,1.0964908249574371e-13,1.6744815895892143e-14
0.0,0.0,4.399762416179294e-13,1.0999406040448235e-13,2.948961490304601e-14
0.0,0.0,4.613380843526883e-13,1.1533452108817207e-13,1.669576423971695e-14
0.0,0.0,4.4024466953806585e-13,1.1006116738451646e-13,3.453324548636503e-14
0.0,0.0,4.3832298535235984e-13,1.0958074633808996e-13,1.1437511295230133e-14
0.0,0.0,4.401803122516019e-13,1.1004507806290047e-13,8.999365933188691e-15
0.0,0.0,4.3894554537890393e-13,1.0973638634472598e-13,2.301666854371548e-14
0.0,0.0,4.3856240006159817e-13,1.0964060001539954e-13,3.055866936162253e-14
0.0,0.0,4.391961064606814e-13,1.0979902661517035e-13,2.086241409845121e-14
0.0,0.0,4.604797976211e-13,1.15119949405275e-13,1.864435876251422e-14
0.0,0.0,4.396841321688811e-13,1.0992103304222027e-13,1.0168653309789438e-14
0.0,0.0,4.406959626288003e-13,1.1017399065720007e-13,8.509245751779486e-15
0.0,0.0,4.377875392001919e-13,1.0944688480004797e-13,9.761336066085191e-15
0.0,0.0,4.3825120245091027e-13,1.0956280061272757e-13,1.1985368714617484e-14
0.0,0.0,4.4072037651741273e-13,1.1018009412935318e-13,2.61143651778284e-14
0.0,0.0,4.402182951780776e-13,1.100545737945194e-13,7.829062213153194e-15
0.0,0.0,4.3990944549246825e-13,1.0997736137311706e-13,2.0450974258858444e-14
0.0,0.0,4.379856892183774e-13,1.0949642230459436e-13,2.2066655829990892e-14
0.0,0.0,4.4063474246791895e-13,1.1015868561697974e-13,1.1464016882973405e-14
0.0,0.0,4.4063501523457305e-13,1.1015875380864326e-13,1.2082296481699693e-14
0.0,0.0,4.3964050275779817e-13,1.0991012568944954e-13,9.968772721641352e-15
