balancing authority,nNodes,in-sample year,num_rep_periods,hours_per_period,RPS,Decarbonization target,CRM reserve,is green field?,is copper plate approx?,is UC active?,is integer vars relaxed?,is UC vars relaxed?,step,nIter,LB,relative gap,sol-method,RAM (MB),run time(s),total system cost,est gen cost,est line cost,est storage cost,VOM cost,shedding cost,gas fuel cost,FOM gen cost,FOM line cost,FOM storage cost,CO2 emissions,total storage level,total storage capacity,total shed load,total established lines,total new line capacity(MW),OCGT-cap,CCGT-cap,CCGT-CCS-cap,solar-UPV-cap,wind-new-cap,OCGT-gen,CCGT-gen,CCGT-CCS-gen,solar-UPV-gen,wind-new-gen,total generation,total demand
ISONE,6,2005,2,168,0,0.8,0,TRUE,FALSE,TRUE,FALSE,TRUE,,,,0.01,extensive_form,146.1445313,9.741340876,5257177223,2837965285,454928723.4,0,114095125.4,-1.103092502,578000363.8,1221878990,50308737.03,0,8780000000,0,0,-3.00E-06,7,25783.63212,16,16,4,15323.22495,16024.64616,1044452.467,22934509.45,10500640.7,32071684.26,55981026.22,122532313.1,122532313.1
ISONE,6,2005,2,168,0,0.8,0,TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,0.01,extensive_form,121.6835938,2.500905991,5251291596,2833741342,451954323.6,0.008125711,114665033.1,0.000709797,580137131.8,1220813955,49979810.13,0.001947445,8780000000,1.62E-07,4.04E-08,4.98E-09,8,25789.03641,15.20115728,16.25278272,4.036192429,15227.32412,16010.28939,939352.2701,23077737.69,10635466.06,35858129.48,52021627.59,122532313.1,122532313.1
ISONE,6,2005,2,168,0,0.8,0,TRUE,FALSE,TRUE,TRUE,TRUE,0,61,5241061701,0.8,RBD,130.359375,93.47361541,5307911792,2859782750,469016320,0,113653651,0,577296738,1236295705,51866628,0,8780000000,0,0,0,8,26824,9.89,19.17,2.97,15624.84,16543.17,943124.02,23091983.18,10459010.72,37385145.88,50657373.33,122536637,122532313
ISONE,6,2005,2,168,0,0.8,0,TRUE,FALSE,TRUE,TRUE,TRUE,0,49,5241482211,0.7,RBD,109.2265625,41.78798008,5270843027,2833942010,450107623,0,119524104,442981,592105065,1224945653,49775591,0,8780000000,0,0,1,8,25626,14.03,16.84,3.8,15064.24,16279.79,1243549.15,22535857.54,11372440.56,35578967.72,51805328.36,122536143,122532313
ISONE,6,2005,2,168,0,0.8,0,TRUE,FALSE,TRUE,TRUE,TRUE,0,49,5241482211,0.7,RBD,128.9023438,123.0177178,5270843027,2833942010,450107623,0,119524104,442981,592105065,1224945653,49775591,0,8780000000,0,0,1,8,25626,14.03,16.84,3.8,15064.24,16279.79,1243549.15,22535857.54,11372440.56,35578967.72,51805328.36,122536143,122532313
ISONE,6,2005,2,168,0.0,0.8,0.0,True,False,True,True,True,0,49,5241482210.979543,0.7,RBD,128.4296875,33.112101316452026,5270843027,2833942010,450107623,0,119524104,442981,592105065,1224945653,49775591,0,8779999999.999998,0,0,1,8,25626,14.03,16.84,3.8,15064.24,16279.79,1243549.15,22535857.54,11372440.56,35578967.72,51805328.36,122536143,122532313
ISONE,6,2005,2,168,0.0,0.8,0.0,True,False,True,True,True,0,49,5241482210.979543,0.7,RBD,129.17578125,41.82881188392639,5270843027,2833942010,450107623,0,119524104,442981,592105065,1224945653,49775591,0,8779999999.999998,0,0,1,8,25626,14.03,16.84,3.8,15064.24,16279.79,1243549.15,22535857.54,11372440.56,35578967.72,51805328.36,122536143,122532313
ISONE,6,2005,2,168,0.0,0.8,0.0,True,False,True,True,True,0,49,5241482210.979543,0.7,RBD,107.5859375,37.169212341308594,5270843027,2833942010,450107623,0,119524104,442981,592105065,1224945653,49775591,0,8779999999.999998,0,0,1,8,25626,14.03,16.84,3.8,15064.24,16279.79,1243549.15,22535857.54,11372440.56,35578967.72,51805328.36,122536143,122532313
ISONE,6,2005,2,168,0.0,0.8,0.0,True,False,True,True,True,0,49,5241482210.979543,0.7,RBD,108.109375,40.98490381240845,5270843027,2833942010,450107623,0,119524104,442981,592105065,1224945653,49775591,0,8779999999.999998,0,0,1,8,25626,14.03,16.84,3.8,15064.24,16279.79,1243549.15,22535857.54,11372440.56,35578967.72,51805328.36,122536143,122532313
ISONE,6,2005,2,168,0.0,0.8,0.0,True,False,True,True,True,0,49,5241482210.979543,0.7,RBD,107.92578125,37.65206027030945,5270843027,2833942010,450107623,0,119524104,442981,592105065,1224945653,49775591,0,8779999999.999998,0,0,1,8,25626,14.03,16.84,3.8,15064.24,16279.79,1243549.15,22535857.54,11372440.56,35578967.72,51805328.36,122536143,122532313
